"first_name","last_name","sex","hire_date"
"Eran","Cusworth","M","1986-11-14"
"Bojan","Zallocco","M","1986-10-14"
"Nevio","Demizu","F","1986-05-18"
"Ziva","Vecchi","M","1986-07-03"
"Mohit","Speek","F","1986-01-14"
"Qunsheng","Speer","M","1986-02-13"
"Dines","Encarnacion","M","1986-08-02"
"Harngdar","Swick","F","1986-05-28"
"Freyja","Uhrig","M","1986-12-20"
"Zhenhua","Milicic","M","1986-08-04"
"Bowen","Schmezko","M","1986-05-30"
"Reuven","Munke","M","1986-04-13"
"Stabislas","Domenig","M","1986-08-04"
"Juichirou","Jumpertz","M","1986-09-18"
"Juichirou","Ghelli","F","1986-12-13"
"Shmuel","Georg","M","1986-11-30"
"Xiadong","Bach","M","1986-04-29"
"Guangming","Butterworth","F","1986-10-01"
"Irene","Setia","F","1986-08-10"
"Shuichi","Swiler","M","1986-06-08"
"Terresa","Perez","F","1986-09-12"
"Lidong","Borovoy","M","1986-05-30"
"Teiji","Eickenmeyer","M","1986-09-03"
"Baocai","Kroha","F","1986-10-27"
"Morrie","Sridhar","M","1986-03-04"
"Taegyun","Speckmann","F","1986-12-28"
"Stabislas","McFarlin","M","1986-07-19"
"Apostol","Ghelli","M","1986-04-07"
"Khun","Kuszyk","M","1986-06-30"
"Conor","Flanders","M","1986-02-21"
"Radhakrishnan","Albarhamtoshy","M","1986-05-07"
"Shigeu","Denna","F","1986-04-10"
"Uta","Frolund","M","1986-01-22"
"Zhiwei","Kaminger","M","1986-07-04"
"Sven","Krider","F","1986-09-25"
"Yannik","Vakili","M","1986-11-09"
"Khatoun","Zeilberger","F","1986-01-31"
"Fox","Erva","F","1986-05-06"
"Huai","Birrer","M","1986-03-28"
"Kristine","Litzler","M","1986-01-09"
"Eirik","Farrel","F","1986-09-19"
"Wayne","Levergood","M","1986-05-05"
"Chrisa","Cullers","M","1986-01-28"
"Manton","Perko","M","1986-06-18"
"Etsuo","Ratzlaff","M","1986-01-15"
"Odysseas","Erie","M","1986-02-06"
"Ingmar","Lambe","M","1986-10-21"
"Marin","Ashish","M","1986-07-11"
"JiYoung","Delaune","M","1986-09-04"
"Sandeepan","Sidou","M","1986-01-19"
"Neven","Leivant","M","1986-09-02"
"Sarita","Hofting","M","1986-07-03"
"Kolar","Karunanithi","F","1986-12-06"
"Shmuel","Impagliazzo","M","1986-02-19"
"Bedrich","Delaune","F","1986-04-06"
"Susanne","Asser","F","1986-08-05"
"Syozo","Sommen","M","1986-03-25"
"Ashish","Ventosa","M","1986-08-14"
"Ingmar","Pollacia","M","1986-08-21"
"Shrikanth","Ramalingam","F","1986-03-10"
"Rimli","Mahnke","F","1986-04-17"
"Adib","Chepyzhov","F","1986-11-10"
"Florina","Kavvadias","F","1986-12-14"
"Kiyomitsu","Bottner","M","1986-11-07"
"Berni","Thorelli","M","1986-08-05"
"Fumiya","Vilarrasa","M","1986-06-27"
"Remzi","Speckmann","M","1986-11-05"
"Georgi","Middleton","M","1986-11-24"
"Zejun","Anandan","F","1986-03-19"
"Kamakshi","Lipner","M","1986-08-17"
"Hyuncheol","Chaudhuri","M","1986-07-09"
"Chandrasekaran","Kaiser","M","1986-12-30"
"Bedir","Bashian","F","1986-10-05"
"Takahira","Spieker","M","1986-06-05"
"Krassimir","Sgarro","F","1986-08-04"
"Maya","Ghemri","M","1986-06-12"
"Eishiro","Dichev","F","1986-04-29"
"Hausi","Kambil","M","1986-07-03"
"Feipei","Clouatre","M","1986-03-05"
"Susumu","Kuszyk","M","1986-12-12"
"Stein","Kulisch","M","1986-06-11"
"Gen","Lundstrom","M","1986-05-29"
"Reinhard","Serre","M","1986-07-14"
"Alain","Fujisaki","M","1986-04-07"
"Alain","Dratva","M","1986-04-23"
"Claudi","Spieker","M","1986-04-23"
"Dulce","Ebeling","M","1986-03-18"
"Jayson","Perri","M","1986-03-23"
"Steen","Hofman","M","1986-10-08"
"Mads","Legleitner","M","1986-07-11"
"Gio","Schauser","M","1986-10-23"
"Takanari","Beznosov","M","1986-06-10"
"Gita","Dichev","M","1986-11-01"
"Barna","Mamelak","F","1986-01-17"
"Junsik","Sinitsyn","M","1986-11-21"
"Snehasis","Anily","F","1986-03-03"
"Behnaam","Schwartzbauer","M","1986-10-17"
"Shem","Petersohn","M","1986-07-08"
"Mokhtar","Chiodo","F","1986-04-06"
"Serif","Streit","M","1986-03-17"
"Teiji","Marrakchi","M","1986-08-26"
"Nathan","Denny","M","1986-09-16"
"Hauke","Giaccio","M","1986-12-12"
"Aral","Baik","M","1986-03-29"
"Seongbin","Poupard","F","1986-09-29"
"Tze","Chinin","F","1986-09-22"
"Joydip","Terkki","M","1986-03-01"
"Jeanne","Zlotek","F","1986-09-03"
"Mikhail","Karner","F","1986-05-15"
"Guenter","Schneeberger","M","1986-04-20"
"Boriana","Mukaidono","F","1986-08-27"
"Kristen","Avouris","M","1986-09-13"
"Insup","Copas","F","1986-01-03"
"Mayumi","Wuwongse","M","1986-11-20"
"Dipankar","Riesenhuber","F","1986-11-25"
"Shichao","Syrzycki","M","1986-01-10"
"Marin","Sidje","F","1986-10-24"
"Boguslaw","Luks","M","1986-05-07"
"Shigeu","Kieras","M","1986-01-30"
"Isamu","Kobuchi","F","1986-02-02"
"Xuedong","Sgarro","F","1986-12-24"
"Ghassan","Walston","M","1986-06-15"
"Armond","Karunanithi","M","1986-11-13"
"Munehiko","Beznosov","M","1986-01-03"
"Kristen","Salverda","M","1986-07-29"
"Kwok","Valiente","F","1986-12-30"
"Mikhail","Salvesen","M","1986-08-09"
"Jaques","Usery","M","1986-01-11"
"Gunilla","Legleitner","M","1986-11-15"
"Ibibia","Dayang","F","1986-01-29"
"Richard","Godskesen","M","1986-03-22"
"Rimli","Bellone","M","1986-02-03"
"Hisao","Lodder","M","1986-05-08"
"Pascal","Leslie","F","1986-12-22"
"Jianwen","Baranowski","M","1986-05-09"
"Gennadi","Beznosov","F","1986-06-25"
"Serge","Sifakis","F","1986-06-07"
"Yuuichi","Sadowski","F","1986-02-22"
"Filipe","Ramamoorthy","M","1986-11-02"
"Billur","Fiutem","M","1986-06-11"
"Vidya","Dymetman","F","1986-01-01"
"Sigeru","Langford","M","1986-05-17"
"Marjo","Cools","M","1986-12-04"
"Boriana","Wendorf","M","1986-10-06"
"Shai","Olano","F","1986-11-15"
"Boalin","Zhang","F","1986-12-23"
"Mario","Narahari","F","1986-02-12"
"Naftali","Syang","M","1986-01-28"
"Lijia","Birta","M","1986-02-01"
"Uli","Ranum","M","1986-02-26"
"Gay","Khamsi","M","1986-05-27"
"Arne","Geffroy","M","1986-09-07"
"Mrinalini","Muntz","M","1986-04-28"
"Feipei","Ligten","F","1986-04-29"
"Charlene","Fabrizio","F","1986-02-13"
"Kazuyasu","Pileggi","M","1986-01-16"
"Temple","Zastre","M","1986-07-22"
"Guther","Huxford","M","1986-11-20"
"Yinghua","Petersohn","M","1986-09-25"
"Steve","Munoz","F","1986-12-10"
"Mads","Ramalingam","M","1986-08-01"
"Xuedong","Fujisaki","M","1986-03-09"
"Beshir","Serre","M","1986-12-08"
"Ottavia","Perl","M","1986-07-01"
"Abdelwaheb","Basawa","F","1986-10-28"
"Xuedong","Rossi","M","1986-04-12"
